matchID,date,group,age,species,individual,GPS_id,ACC_id,harness_type,flight,heure.UTC.release.first,TAKE.OFF.Heure.UTC.GPS,LANDING.Heure.UTC.GPS,heure.UTC.GROUND,heure.UTC.perch,Notes
28/06/2018_GREGOIRE_3,28/06/2018,2,old,VF,GREGOIRE,3,3,LegLoop,2,12:52:30,12:52:31.50,13:14:52.00,13:15:12,NA,
28/06/2018_GREGOIRE_3,28/06/2018,2,old,VF,GREGOIRE,3,3,LegLoop,3,NA,NA,NA,NA,NA,
28/06/2018_HENRI_6,28/06/2018,together,old,VF,HENRI,6,6,LegLoop,1,11:23:06,11:22:57.00,11:42:55.25,11:43:00,NA,
28/06/2018_HENRI_6,28/06/2018,2,old,VF,HENRI,6,6,LegLoop,2,12:52:40,12:52:38.50,13:02:31.50,13:02:32,NA,
28/06/2018_HENRI_6,28/06/2018,2,old,VF,HENRI,6,6,LegLoop,3,14:22:46,14:22:46.50,14:48:36.50,14:48:39,NA,
28/06/2018_HERCULE_180087,28/06/2018,together,young,VF,HERCULE,180087,180087,BackPack,1,11:25:05,NA,NA,11:30:08,NA,
28/06/2018_HERCULE_180087,28/06/2018,1,young,VF,HERCULE,180087,180087,BackPack,2,12:50:20,NA,NA,12:59:30,NA,
28/06/2018_HERCULE_180087,28/06/2018,1,young,VF,HERCULE,180087,180087,BackPack,3,14:18:48,NA,NA,NA,NA,
28/06/2018_KHAN_J,28/06/2018,together,NA,RAV,KHAN,J,J,Tail,1,11:22:00,NA,NA,11:35:00,NA,Bird was released but didn’t flight.
28/06/2018_KHAN_J,28/06/2018,1,young,RAV,KHAN,J,J,Tail,2,12:48:43,NA,NA,NA,NA,
28/06/2018_KIRIKOU_14,28/06/2018,together,young,VR,KIRIKOU,14,2,BP,1,11:23:55,11:23:47.75,11:55:39.25,11:55:45,NA,
28/06/2018_KIRIKOU_14,28/06/2018,1,young,VR,KIRIKOU,14,2,BP,2,12:49:36,12:49:33.25,13:14:10.25,13:14:08,NA,
28/06/2018_KIRIKOU_14,28/06/2018,1,young,VR,KIRIKOU,14,2,BP,3,14:20:25,14:20:24.50,14:56:30.25,14:56:30,NA,
28/06/2018_KLEA_Z,28/06/2018,together,NA,Black Kite,KLEA,Z,Z,LegLoop,1,11:15:00,372602,460602,NA,NA,
28/06/2018_KLEA_Z,28/06/2018,NA,NA,Black Kite,KLEA,Z,Z,LegLoop,2,12:42:00,no data,no data,13:11:15,NA,
28/06/2018_KLEA_Z,28/06/2018,NA,NA,Black Kite,KLEA,Z,Z,LegLoop,3,still out from flight 2,NA,NA,NA,NA,
28/06/2018_KUZCO_5,28/06/2018,together,young,CONDOR,KUZCO,5,5,BackPack,1,11:25:17,11:28:37.00,11:37:25.75,11:37:28,NA,
28/06/2018_KUZCO_5,28/06/2018,1,young,CONDOR,KUZCO,5,5,BackPack,2,12:51:26,12:56:59.75,13:24:37.75,13:24:40,NA,
28/06/2018_LEON_180090,28/06/2018,together,young,VF,LEON,180090,180090,LL,1,11:23:54,NA,NA,11:52:35,11:53:14,
28/06/2018_LEON_180090,28/06/2018,1,young,VF,LEON,180090,180090,LL,2,12:49:35,NA,NA,12:58:18,NA,
28/06/2018_LEON_180090,28/06/2018,1,young,VF,LEON,180090,180090,LL,3,14:19:33,NA,NA,14:53:00,NA,
28/06/2018_MANU_J,28/06/2018,1,young,RAV,MANU,J,J,NA,3,14:22:05,14:22:02.24,14:44:41.25,14:44:42,NA,
28/06/2018_MANU_4,28/06/2018,1,young,RAV,MANU,4,4,BackPack,3,14:22:05,14:22:02.24,14:44:41.25,14:44:42,NA,
29/06/2018_DAKOTA_I,29/06/2018,2,young,PYGTB,DAKOTA,I,I,Tail,1,11:27:19,200302,205402,11:34:49,NA,Second flight without tail logger
29/06/2018_GAELLE_13,29/06/2018,2,young,VH,GAELLE,13,7,BackPack,2,12:55:20,12:55:17.00,13:22:27.00,13:36:00,NA,
29/06/2018_GAELLE_13,29/06/2018,2,young,VH,GAELLE,13,7,BackPack,3,14:27:30,14:26:48.75,14:38:32.75,14:38:35,NA,
29/06/2018_GISELE_4,29/06/2018,1,old,VH,GISELE,4,4,LegLoop,1,11:17:11,11:17:10.50,11:49:44.25,11:50:00,NA,
29/06/2018_GISELE_4,29/06/2018,1,old,VH,GISELE,4,4,LegLoop,2,12:54:50,12:54:46.00,14:02:07.50,14:02:15,NA,
29/06/2018_GISELE_4,29/06/2018,1,old,VH,GISELE,4,4,LegLoop,3,14:23:13,14:27:26.00,15:02:51.25,15:02:52,NA,
29/06/2018_GREGOIRE_5,29/06/2018,1,old,VF,GREGOIRE,5,5,BackPack,1,11:17:25,11:17:24.50,11:42:10.25,11:42:09,NA,
29/06/2018_GREGOIRE_5,29/06/2018,1,old,VF,GREGOIRE,5,5,BackPack,2,12:49:47,12:49:45.50,13:48:56.00,NA,NA,
29/06/2018_GREGOIRE_5,29/06/2018,1,old,VF,GREGOIRE,5,5,BackPack,3,14:23:??,14:56:52.50,15:03:17.00,15:03:15,NA,
29/06/2018_HENRI_3,29/06/2018,1,old,VF,HENRI,3,3,LegLoop,1,11:17:11,11:17:09.75,11:42:04.00,11:42:08,NA,
29/06/2018_HENRI_3,29/06/2018,1,old,VF,HENRI,3,3,LegLoop,2,12:49:47,12:49:44.25,13:31:25.50,13:30:??,NA,
29/06/2018_HENRI_3,29/06/2018,1,old,VF,HENRI,3,3,LegLoop,3,14:23:33,14:24:06.75,14:38:28.00,14:38:35,NA,
29/06/2018_HERCULE_171010,29/06/2018,2,young,VF,HERCULE,171010,171010,BackPack,1,11:20:14,NA,NA,11:26:05,NA,
29/06/2018_KHAN_H,29/06/2018,2,young,RAV,KHAN,H,H,Tail,2,12:59:??,337902,390827,13:43:50,NA,
29/06/2018_KIRIKOU_6,29/06/2018,2,young,VR,KIRIKOU,6,6,LegLoop,1,11:19:58,11:19:57.50,11:24:49.00,11:24:50,NA,
29/06/2018_KIRIKOU_6,29/06/2018,2,young,VR,KIRIKOU,6,6,LegLoop,2,12:52:40,12:52:38.75,13:59:59.75,14:01:10,NA,
29/06/2018_KIRIKOU_6,29/06/2018,2,young,VR,KIRIKOU,6,6,LegLoop,3,14:22:45,14:26:43.50,14:38:35.75,14:38:35,NA,
